FIPS,2010 RR_Level,2011 RR_Level,2012 RR_Level,2013 RR_Level,2014 RR_Level,2015 RR_Level,2016 RR_Level,2017 RR_Level,2018 RR_Level,2019 RR_Level,2020 RR_Level,2021 RR_Level,2022 RR_Level
01001,13,15,16,16,15,16,16,16,16,16,17,16,14
01003,12,13,11,14,12,12,14,15,14,15,13,12,14
01005,16,16,17,16,17,17,17,17,17,15,17,17,17
01007,12,15,14,14,13,14,14,14,14,14,14,14,13
01009,11,10,5,11,11,12,12,11,13,13,14,14,15
01011,16,15,16,17,16,16,16,17,17,13,16,18,16
01013,16,8,17,17,13,16,17,13,17,17,16,14,13
01015,11,13,12,11,12,13,14,11,14,13,13,14,11
01017,15,12,15,16,14,15,14,14,16,16,15,15,16
01019,11,13,11,11,13,12,14,11,13,14,13,14,14
01021,8,15,15,15,15,16,15,16,15,15,17,14,14
01023,15,17,16,15,17,16,17,17,17,17,17,17,16
01025,15,16,15,15,13,15,16,16,15,16,16,16,13
01027,16,17,13,17,17,17,14,13,15,16,16,17,16
01029,11,17,12,14,13,13,17,12,17,17,13,18,18
01031,16,13,16,17,17,16,17,16,14,15,14,15,15
01033,13,13,11,4,11,13,15,16,14,15,12,15,15
01035,17,2,17,14,5,14,17,11,14,17,13,6,12
01037,13,15,13,15,17,16,13,14,15,17,17,15,15
01039,15,8,15,17,13,14,17,13,13,13,13,11,14
01041,17,12,17,17,16,16,17,16,16,16,16,15,15
01043,6,13,12,11,4,12,12,12,12,14,15,12,13
01045,15,16,16,16,16,16,17,16,16,15,15,15,15
01047,14,16,16,16,16,17,17,17,16,16,17,17,11
01049,12,12,11,3,12,11,12,10,13,11,13,16,14
01051,13,15,15,16,14,16,14,16,15,15,16,16,17
01053,7,3,14,3,5,12,15,11,11,8,13,6,11
01055,13,12,11,11,12,12,14,11,11,13,14,14,14
01057,11,4,12,6,14,13,15,14,16,15,12,13,11
01059,9,11,11,4,13,15,15,17,15,14,14,16,13
01061,14,14,14,16,17,15,16,15,14,13,14,14,14
01063,17,17,16,13,17,17,17,17,17,17,17,18,18
01065,14,16,17,14,15,16,17,16,16,17,16,16,16
01067,17,17,16,15,17,16,17,16,17,17,16,17,16
01069,13,13,14,11,14,14,17,14,13,15,15,16,15
01071,13,13,9,11,12,11,14,12,13,12,14,13,15
01073,14,13,14,13,11,11,11,11,11,11,11,11,9
01075,17,11,15,11,17,15,17,16,17,17,14,13,13
01077,13,13,11,4,11,11,15,15,14,15,11,15,13
01079,11,12,11,8,11,13,14,15,14,14,13,18,14
01081,15,13,15,15,15,14,14,15,16,16,16,17,17
01083,11,13,12,13,14,11,14,14,14,14,13,15,17
01085,17,14,17,17,17,17,17,16,17,17,17,18,14
01087,17,14,15,16,15,16,14,16,16,14,17,16,16
01089,13,14,15,15,15,14,13,13,14,13,13,13,14
01091,16,17,16,15,16,17,17,17,16,17,17,18,16
01093,6,4,11,4,17,15,17,16,17,15,14,14,11
01095,12,12,12,12,11,11,14,15,13,13,15,13,14
01097,13,14,12,12,13,13,14,15,14,15,14,14,14
01099,14,8,15,14,8,14,16,14,14,15,14,12,12
01101,14,15,15,16,15,16,16,16,16,16,16,16,16
01103,12,13,12,12,14,11,15,14,13,15,14,15,13
01105,13,17,17,17,17,17,17,17,17,16,17,18,13
01107,15,14,17,13,16,15,16,16,16,16,16,15,17
01109,16,15,16,17,17,16,17,17,16,15,16,17,16
01111,13,13,13,17,14,17,14,12,16,15,14,15,16
01113,16,15,16,16,16,16,16,16,13,11,13,12,14
01115,11,11,13,8,3,11,11,11,11,12,12,11,11
01117,12,13,11,13,12,12,12,14,13,14,14,14,14
01119,17,17,17,15,16,17,17,17,17,17,18,18,18
01121,13,14,13,13,13,14,13,14,13,15,14,15,16
01123,16,14,15,16,15,17,12,14,16,16,16,16,16
01125,12,14,12,12,14,14,14,14,14,15,14,14,16
01127,2,1,3,2,5,13,13,14,14,12,11,12,5
01129,14,17,17,14,14,13,15,16,16,17,18,15,14
01131,17,15,16,17,14,17,17,17,16,17,17,18,13
01133,2,4,9,5,11,17,14,17,15,13,12,14,12
02013,17,17,17,17,17,17,17,16,17,17,18,18,18
02016,17,17,17,17,17,17,17,16,17,17,18,18,18
02020,13,11,11,12,12,12,13,12,14,13,12,12,11
02050,17,17,14,17,17,17,15,16,15,15,16,16,17
02060,17,17,17,17,17,17,17,17,17,17,18,18,18
02063,14,13,12,14,13,13,13,14,14,14,15,14,15
02066,15,14,14,15,15,15,14,15,16,16,16,15,16
02068,17,17,17,15,15,17,17,17,17,17,17,18,18
02070,17,17,17,17,17,17,17,17,17,17,16,18,18
02090,14,14,14,14,12,15,14,14,15,13,16,15,15
02100,17,17,17,17,17,17,17,17,17,17,18,18,14
02105,17,17,17,17,17,17,17,17,17,17,18,18,17
02110,17,17,17,17,17,17,17,10,17,17,18,12,11
02122,15,15,11,15,12,11,11,14,11,13,14,13,14
02130,17,17,17,17,17,17,17,17,17,17,18,18,18
02150,17,17,14,17,15,14,14,14,17,15,14,16,16
02158,17,17,16,17,17,17,16,17,15,15,18,16,17
02164,17,17,17,17,17,17,17,16,17,17,16,18,18
02170,13,11,8,13,12,14,12,13,14,13,14,13,14
02180,17,17,16,17,17,17,17,17,16,15,18,17,17
02185,17,17,17,17,17,17,17,17,17,15,18,18,17
02188,17,17,17,17,17,17,17,17,17,15,18,18,17
02195,17,17,17,17,17,17,17,15,17,17,18,18,18
02198,17,17,17,17,17,17,17,17,17,17,18,18,18
02220,17,17,17,17,17,17,17,17,17,17,18,18,18
02230,17,17,17,17,17,17,17,17,17,17,18,18,14
02240,15,14,17,15,17,15,15,16,17,17,18,15,16
02275,17,17,17,17,17,17,17,17,17,17,18,18,18
02282,17,17,17,17,17,17,17,17,17,17,18,18,18
02290,16,16,17,17,17,16,16,17,16,15,18,16,16
04001,13,12,13,14,12,13,13,14,14,13,13,12,11
04003,11,14,11,14,12,11,12,12,13,13,12,13,12
04005,12,12,15,11,14,12,14,13,12,14,13,14,14
04007,11,11,11,11,5,4,5,10,11,11,13,12,11
04009,11,12,12,12,11,11,12,12,12,12,13,13,11
04011,14,14,17,17,12,12,17,12,17,13,12,11,11
04012,12,12,17,12,12,12,13,13,13,12,11,14,2
04013,12,12,12,12,12,13,13,12,12,11,12,12,12
04015,3,6,4,5,9,8,11,12,13,12,13,14,13
04017,11,12,11,7,11,14,11,14,15,12,12,11,11
04019,11,11,11,11,11,11,12,12,12,11,11,11,11
04021,12,14,13,13,15,14,14,14,14,13,13,14,15
04023,11,17,11,12,12,11,12,12,12,12,11,13,12
04025,11,6,4,5,10,11,11,12,12,9,11,13,14
04027,13,14,12,14,12,13,13,15,14,13,13,13,15
05001,15,16,17,17,16,16,16,16,16,16,16,17,18
05003,17,16,16,17,16,17,16,17,17,16,17,12,16
05005,17,17,16,16,10,11,16,11,15,17,16,17,16
05007,12,13,13,14,13,13,14,15,14,15,15,16,16
05009,17,16,15,14,15,17,15,14,11,14,16,14,17
05011,17,16,17,17,17,17,16,17,17,16,18,12,18
05013,17,17,17,17,17,17,17,17,17,17,18,15,18
05015,16,14,13,14,15,16,14,14,7,14,15,14,16
05017,17,17,16,17,17,17,17,17,17,17,17,15,17
05019,16,17,15,16,16,16,16,16,17,17,18,17,18
05021,17,7,3,14,4,0,17,14,11,17,14,12,14
05023,14,15,15,13,13,14,14,14,14,14,15,17,15
05025,17,17,17,17,16,16,16,17,16,15,18,16,17
05027,17,16,16,16,17,17,17,17,17,17,17,17,18
05029,12,14,16,17,15,14,14,13,15,15,14,16,15
05031,12,13,14,11,12,14,14,15,15,16,14,16,16
05033,11,5,12,11,13,12,14,14,13,15,14,14,14
05035,15,15,15,16,16,15,14,11,12,15,15,15,14
05037,17,15,16,16,16,16,15,15,14,16,16,16,16
05039,17,17,15,17,17,16,17,17,17,16,17,18,18
05041,17,17,17,17,17,17,17,17,17,16,16,18,17
05043,17,17,17,17,17,16,17,17,16,16,17,15,17
05045,12,13,13,14,13,15,15,15,14,14,15,16,16
05047,17,11,11,13,13,14,13,15,13,15,14,15,14
05049,16,17,14,17,17,12,17,14,17,17,15,17,15
05051,5,11,9,11,10,11,12,11,11,13,11,14,12
05053,15,15,14,15,15,14,15,14,14,13,15,15,16
05055,15,11,5,14,4,11,16,14,13,17,15,14,17
05057,17,16,15,17,17,17,17,17,17,17,18,16,18
05059,13,14,12,15,14,14,15,11,15,14,14,15,17
05061,17,14,12,17,16,17,17,17,17,17,18,16,17
05063,16,16,16,14,13,14,16,15,16,16,15,17,16
05065,17,17,16,16,13,12,17,14,17,17,16,17,16
05067,15,14,15,15,15,15,15,17,15,16,15,16,16
05069,14,16,16,15,14,14,14,13,13,14,14,16,15
05071,16,11,12,13,15,16,15,16,13,16,15,15,16
05073,17,16,17,16,17,17,17,17,17,17,18,16,18
05075,15,14,12,14,12,13,17,15,15,16,16,16,18
05077,17,17,17,17,17,17,17,16,15,17,18,15,16
05079,17,17,17,17,16,15,16,16,15,15,16,18,17
05081,16,14,11,17,16,17,15,16,17,17,18,15,17
05083,14,12,11,14,14,15,13,16,14,16,14,15,16
05085,9,14,15,12,12,14,12,14,13,13,15,14,16
