FIPS,2010 RR_Level,2011 RR_Level,2012 RR_Level,2013 RR_Level,2014 RR_Level,2015 RR_Level,2016 RR_Level,2017 RR_Level,2018 RR_Level,2019 RR_Level,2020 RR_Level,2021 RR_Level,2022 RR_Level
01001,12,8,7,6,8,6,7,6,6,6,5,6,10
01003,14,12,16,11,15,15,11,9,10,9,13,14,11
01005,6,6,0,6,5,0,5,5,0,8,5,5,5
01007,15,9,10,11,12,10,10,11,10,10,10,10,13
01009,16,18,19,17,16,14,15,17,12,12,10,10,9
01011,0,8,7,0,7,6,7,0,0,12,7,0,7
01013,0,18,0,0,13,6,0,12,0,5,7,11,13
01015,16,12,14,16,14,13,10,16,11,12,12,10,17
01017,8,15,9,6,10,8,11,10,7,7,9,8,6
01019,17,12,16,17,13,15,11,16,13,11,12,10,11
01021,18,9,9,8,8,7,8,7,8,8,5,10,12
01023,8,0,7,9,0,7,0,0,0,4,0,5,7
01025,9,7,8,9,12,8,6,6,8,6,6,6,12
01027,0,0,12,0,0,0,11,13,8,6,6,5,6
01029,17,0,14,11,12,12,0,15,0,0,13,0,0
01031,7,13,6,0,5,6,0,6,10,9,10,8,9
01033,13,12,16,19,16,13,9,6,11,9,15,9,8
01035,0,19,0,11,19,10,0,17,11,0,13,18,15
01037,12,9,13,9,0,7,12,10,9,0,0,8,8
01039,9,18,8,0,12,10,0,12,12,12,12,16,11
01041,0,15,0,0,6,6,0,7,7,6,7,8,9
01043,18,12,14,16,19,15,15,14,14,11,9,14,13
01045,8,7,7,7,6,7,5,6,7,8,8,8,8
01047,11,6,7,6,6,0,0,0,6,6,0,4,16
01049,15,14,17,19,14,17,15,18,13,17,12,7,10
01051,12,9,9,7,11,6,10,7,8,9,7,7,5
01053,18,19,11,19,19,15,9,17,17,18,13,18,17
01055,12,14,17,16,14,15,11,17,16,12,10,11,11
01057,17,19,15,18,10,12,8,11,7,9,14,13,16
01059,18,17,16,19,13,8,8,0,8,10,11,7,13
01061,10,11,10,7,0,8,6,8,10,12,11,11,10
01063,0,0,7,12,0,0,0,0,0,0,0,0,0
01065,11,7,0,10,8,6,0,7,7,0,6,6,7
01067,0,0,7,8,0,6,0,6,0,0,6,5,6
