FIPS,Deaths,Population,2016 MR
01001,-9.0,55416.0,-9.0
01003,32.0,208563.0,15.34
01005,-9.0,25965.0,-9.0
01007,-9.0,22643.0,-9.0
01009,14.0,57704.0,24.26
01011,-9.0,10362.0,-9.0
01013,-9.0,19998.0,-9.0
01015,15.0,114611.0,13.09
01017,-9.0,33843.0,-9.0
01019,-9.0,25725.0,-9.0
01021,-9.0,43941.0,-9.0
01023,0.0,12993.0,0.0
01025,-9.0,24392.0,-9.0
01027,-9.0,13492.0,-9.0
01029,0.0,14924.0,0.0
01031,-9.0,51226.0,-9.0
01033,-9.0,54216.0,-9.0
01035,-9.0,12395.0,-9.0
01037,-9.0,10581.0,-9.0
01039,0.0,37458.0,0.0
01041,0.0,13913.0,0.0
01043,19.0,82471.0,23.04
01045,-9.0,49226.0,-9.0
01047,-9.0,40008.0,-9.0
01049,18.0,70900.0,25.39
01051,-9.0,81799.0,-9.0
01053,-9.0,37728.0,-9.0
01055,15.0,102564.0,14.63
01057,-9.0,16546.0,-9.0
01059,-9.0,31628.0,-9.0
01061,-9.0,26614.0,-9.0
01063,0.0,8422.0,0.0
01065,0.0,14952.0,0.0
01067,0.0,17164.0,0.0
01069,-9.0,104056.0,-9.0
01071,-9.0,52138.0,-9.0
01073,200.0,659521.0,30.33
01075,0.0,13918.0,0.0
01077,11.0,92318.0,11.92
01079,-9.0,33244.0,-9.0
01081,-9.0,158991.0,-9.0
01083,-9.0,92753.0,-9.0
01085,0.0,10358.0,0.0
01087,-9.0,18963.0,-9.0
01089,61.0,356967.0,17.09
01091,0.0,19673.0,0.0
01093,0.0,29998.0,0.0
01095,13.0,95157.0,13.66
01097,64.0,414836.0,15.43
01099,-9.0,21530.0,-9.0
01101,16.0,226349.0,7.07
01103,12.0,119012.0,10.08
01105,0.0,9574.0,0.0
01107,-9.0,20324.0,-9.0
01109,-9.0,33286.0,-9.0
01111,-9.0,22652.0,-9.0
01113,-9.0,58172.0,-9.0
01115,29.0,88019.0,32.95
01117,45.0,210622.0,21.37
01119,0.0,13040.0,0.0
01121,-9.0,80103.0,-9.0
01123,10.0,40727.0,24.55
01125,30.0,206102.0,14.56
01127,12.0,64967.0,18.47
01129,-9.0,16756.0,-9.0
01131,0.0,10986.0,0.0
01133,-9.0,23805.0,-9.0
02013,0.0,3296.0,0.0
02016,0.0,5647.0,0.0
02020,52.0,298192.0,17.44
02050,-9.0,17968.0,-9.0
02060,0.0,898.0,0.0
02063,,,-9.0
02066,,,-9.0
02068,0.0,1953.0,0.0
02070,-9.0,4954.0,-9.0
02090,14.0,100605.0,13.92
02100,0.0,2496.0,0.0
02105,0.0,2078.0,0.0
02110,-9.0,32468.0,-9.0
02122,15.0,58506.0,25.64
02130,-9.0,13746.0,-9.0
02150,-9.0,13732.0,-9.0
02158,,,-9.0
02164,0.0,1562.0,0.0
02170,23.0,104365.0,22.04
02180,0.0,9917.0,0.0
02185,0.0,9606.0,0.0
02188,0.0,7673.0,0.0
02195,-9.0,3149.0,-9.0
02198,-9.0,6347.0,-9.0
02220,-9.0,8830.0,-9.0
02230,0.0,1088.0,0.0
02240,-9.0,6876.0,-9.0
02275,-9.0,2411.0,-9.0
02282,0.0,601.0,0.0
02290,-9.0,5526.0,-9.0
04001,-9.0,73112.0,-9.0
04003,26.0,125770.0,20.67
04005,18.0,140908.0,12.77
04007,22.0,53556.0,41.08
04009,-9.0,37599.0,-9.0
04011,0.0,9613.0,0.0
04012,-9.0,20317.0,-9.0
04013,797.0,4242997.0,18.78
04015,56.0,205249.0,27.28
04017,33.0,110026.0,29.99
04019,240.0,1016206.0,23.62
04021,58.0,418540.0,13.86
04023,-9.0,45985.0,-9.0
04025,68.0,225562.0,30.15
04027,40.0,205631.0,19.45
05001,-9.0,18214.0,-9.0
05003,-9.0,20492.0,-9.0
05005,-9.0,41062.0,-9.0
05007,39.0,258291.0,15.1
05009,-9.0,37304.0,-9.0
05011,-9.0,10996.0,-9.0
05013,-9.0,5144.0,-9.0
05015,-9.0,27646.0,-9.0
05017,-9.0,10945.0,-9.0
05019,-9.0,22657.0,-9.0
05021,-9.0,14920.0,-9.0
