FIPS,Deaths,Population,Crude Rate
1001,Suppressed,55601,Suppressed
1003,28,218022,12.84
1005,0,24881,Unreliable
1007,Suppressed,22400,Suppressed
1009,10,57840,Unreliable
1011,0,10138,Unreliable
1013,0,19680,Unreliable
1015,17,114277,Unreliable
1017,Suppressed,33615,Suppressed
1019,Suppressed,26032,Suppressed
1021,Suppressed,44153,Suppressed
1023,0,12841,Unreliable
1025,Suppressed,23920,Suppressed
1027,Suppressed,13275,Suppressed
1029,0,14987,Unreliable
1031,Suppressed,51909,Suppressed
1033,Suppressed,54762,Suppressed
1035,Suppressed,12277,Suppressed
1037,Suppressed,10715,Suppressed
1039,Suppressed,36986,Suppressed
1041,Suppressed,13824,Suppressed
1043,19,83442,Unreliable
1045,Suppressed,48956,Suppressed
1047,Suppressed,38310,Suppressed
1049,15,71385,Unreliable
1051,Suppressed,81887,Suppressed
1053,12,36748,Unreliable
1055,28,102501,27.32
1057,Suppressed,16433,Suppressed
1059,Suppressed,31363,Suppressed
1061,Suppressed,26314,Suppressed
1063,0,8233,Unreliable
1065,Suppressed,14726,Suppressed
1067,0,17209,Unreliable
1069,18,104722,Unreliable
1071,Suppressed,51736,Suppressed
1073,186,659300,28.21
1075,0,13844,Unreliable
1077,14,92387,Unreliable
1079,Suppressed,32957,Suppressed
1081,11,163941,Unreliable
1083,Suppressed,96174,Suppressed
1085,0,9974,Unreliable
1087,Suppressed,18439,Suppressed
1089,47,366519,12.82
1091,Suppressed,19066,Suppressed
1093,0,29763,Unreliable
1095,17,96109,Unreliable
1097,59,413757,14.26
1099,Suppressed,21067,Suppressed
1101,18,225763,Unreliable
1103,22,119089,18.47
1105,0,9140,Unreliable
1107,Suppressed,19938,Suppressed
1109,Suppressed,33338,Suppressed
1111,Suppressed,22725,Suppressed
1113,10,57781,Unreliable
1115,27,88690,30.44
1117,37,215707,17.15
1119,0,12691,Unreliable
1121,16,79828,Unreliable
1123,Suppressed,40497,Suppressed
1125,27,208911,12.92
1127,10,63711,Unreliable
1129,Suppressed,16378,Suppressed
1131,Suppressed,10627,Suppressed
1133,Suppressed,23660,Suppressed
2013,0,3515,Unreliable
2016,0,5723,Unreliable
2020,48,291538,16.46
2050,Suppressed,18216,Suppressed
2060,0,877,Unreliable
2068,0,2059,Unreliable
2070,0,5000,Unreliable
2090,11,98971,Unreliable
2100,0,2474,Unreliable
2105,0,2151,Unreliable
2110,Suppressed,32113,Suppressed
2122,16,58533,Unreliable
2130,Suppressed,13918,Suppressed
2150,0,13345,Unreliable
2164,0,1587,Unreliable
2170,15,107610,Unreliable
2180,Suppressed,10008,Suppressed
2185,Suppressed,9872,Suppressed
2188,0,7671,Unreliable
2195,0,3221,Unreliable
2198,Suppressed,6422,Suppressed
2201,Missing,Missing,Missing
2220,0,8647,Unreliable
2230,0,1148,Unreliable
2232,Missing,Missing,Missing
2240,0,6918,Unreliable
2261,Suppressed,9164,Suppressed
2270,Suppressed,8303,Suppressed
2275,0,2503,Unreliable
2280,Missing,Missing,Missing
2282,0,604,Unreliable
2290,Suppressed,5327,Suppressed
4001,12,71818,Unreliable
4003,24,126770,18.93
4005,35,142854,24.5
4007,17,53889,Unreliable
4009,10,38072,Unreliable
4011,0,9483,Unreliable
4012,Suppressed,21098,Suppressed
4013,1079,4410824,24.46
4015,41,209550,19.57
4017,14,110445,Unreliable
4019,262,1039073,25.21
4021,72,447138,16.1
4023,Suppressed,46511,Suppressed
4025,56,231993,24.14
4027,33,212128,15.56
5001,Suppressed,17769,Suppressed
5003,Suppressed,20046,Suppressed
5005,Suppressed,41619,Suppressed
5007,36,272608,13.21
5009,Suppressed,37480,Suppressed
5011,Suppressed,10897,Suppressed
5013,0,5277,Unreliable
5015,11,28223,Unreliable
5017,0,10438,Unreliable
5019,0,22061,Unreliable
5021,Suppressed,14847,Suppressed
5023,Suppressed,24965,Suppressed
5025,Suppressed,8018,Suppressed
5027,Suppressed,23537,Suppressed
5029,Suppressed,20891,Suppressed
5031,10,108558,Unreliable
5033,13,63406,Unreliable
5035,12,48342,Unreliable
5037,Suppressed,16676,Suppressed
5039,0,7182,Unreliable
5041,0,11512,Unreliable
5043,Suppressed,18328,Suppressed
5045,20,124806,16.02
5047,Suppressed,17810,Suppressed
5049,0,12269,Unreliable
5051,27,99154,27.23
5053,Suppressed,18188,Suppressed
5055,Suppressed,45325,Suppressed
5057,Suppressed,21741,Suppressed
5059,Suppressed,33701,Suppressed
5061,Suppressed,13341,Suppressed
5063,Suppressed,37678,Suppressed
5065,Suppressed,13593,Suppressed
5067,Suppressed,16811,Suppressed
5069,14,68114,Unreliable
5071,Suppressed,26742,Suppressed
5073,0,6682,Unreliable
5075,Suppressed,16434,Suppressed
5077,Suppressed,8985,Suppressed
5079,Suppressed,13383,Suppressed
5081,Suppressed,12326,Suppressed
5083,Suppressed,21737,Suppressed
5085,14,73657,Unreliable
5087,Suppressed,16481,Suppressed
5089,Suppressed,16722,Suppressed
5091,0,43592,Unreliable
5093,Suppressed,41239,Suppressed
5095,0,6900,Unreliable
5097,Suppressed,8924,Suppressed
5099,0,8326,Unreliable
5101,Suppressed,7805,Suppressed
