FIPS,2010 POP,2011 POP,2012 POP,2013 POP,2014 POP,2015 POP,2016 POP,2017 POP,2018 POP,2019 POP,2020 POP,2021 POP,2022 POP
01001,54828.0,55564.0,55574.0,55619.0,56062.0,56311.0,56979.0,57393.0,57747.0,58251.0,58814.0,59191.0,59736.0
01003,183215.0,187051.0,191053.0,196205.0,200910.0,205083.0,210148.0,215475.0,221187.0,227057.0,231766.0,239411.0,246577.0
01005,27339.0,27416.0,27301.0,27132.0,27012.0,26600.0,26186.0,25585.0,25359.0,25187.0,25225.0,24517.0,24722.0
01007,22861.0,22749.0,22680.0,22543.0,22585.0,22607.0,22654.0,22607.0,22385.0,22408.0,22302.0,22344.0,21983.0
01009,57402.0,57711.0,57855.0,58020.0,58045.0,58165.0,58237.0,58671.0,58760.0,58949.0,59132.0,59050.0,59491.0
01011,10884.0,10718.0,10679.0,10656.0,10798.0,10566.0,10589.0,10404.0,10418.0,10428.0,10357.0,10126.0,10126.0
01013,20921.0,20808.0,20565.0,20204.0,20130.0,19918.0,19742.0,19566.0,19283.0,19061.0,19049.0,18856.0,18652.0
01015,118488.0,118109.0,117843.0,117417.0,117154.0,116986.0,116746.0,116730.0,116556.0,116601.0,116441.0,115633.0,115744.0
01017,34149.0,34240.0,34491.0,34707.0,34725.0,34931.0,34862.0,35014.0,35047.0,34900.0,34780.0,34396.0,34093.0
01019,25935.0,25824.0,25657.0,25583.0,25326.0,25030.0,24924.0,24842.0,24921.0,25005.0,24968.0,25060.0,25334.0
01021,43660.0,43756.0,43706.0,43809.0,44003.0,44004.0,44225.0,44514.0,44573.0,44861.0,45010.0,45255.0,45856.0
01023,13852.0,13632.0,13609.0,13465.0,13405.0,13339.0,13171.0,13064.0,12971.0,12758.0,12664.0,12544.0,12420.0
01025,25759.0,25550.0,25091.0,25030.0,24741.0,24548.0,24147.0,23857.0,23707.0,23362.0,23086.0,22735.0,22545.0
01027,13924.0,13822.0,13678.0,13759.0,13905.0,13985.0,14071.0,14142.0,14197.0,14269.0,14238.0,14156.0,14198.0
01029,15006.0,14939.0,14907.0,15001.0,15065.0,14966.0,14923.0,14984.0,15115.0,15029.0,15059.0,15151.0,15353.0
01031,50211.0,50487.0,51227.0,50807.0,50820.0,51162.0,51469.0,52161.0,52346.0,52917.0,53461.0,54201.0,54769.0
01033,54572.0,54774.0,54990.0,55140.0,55263.0,55402.0,55629.0,56012.0,56482.0,56937.0,57236.0,57615.0,58023.0
01035,13226.0,13153.0,12969.0,12801.0,12535.0,12504.0,12289.0,12193.0,11992.0,11751.0,11595.0,11317.0,11220.0
01037,11771.0,11447.0,11278.0,11158.0,10914.0,10783.0,10631.0,10513.0,10380.0,10409.0,10391.0,10321.0,10283.0
01039,37824.0,38095.0,37937.0,38006.0,38008.0,37866.0,37757.0,37491.0,37464.0,37610.0,37564.0,37512.0,37508.0
01041,13856.0,13830.0,13798.0,13679.0,13631.0,13580.0,13588.0,13496.0,13428.0,13333.0,13196.0,13062.0,13096.0
01043,80544.0,80858.0,81083.0,81848.0,82576.0,83618.0,84633.0,85381.0,86203.0,86898.0,87863.0,89578.0,90597.0
01045,50402.0,50164.0,50368.0,49887.0,49569.0,49556.0,49629.0,49645.0,49470.0,49521.0,49321.0,49344.0,49472.0
01047,43906.0,43508.0,43252.0,42643.0,42425.0,42015.0,41378.0,40739.0,39949.0,39065.0,38460.0,37496.0,36772.0
01049,71132.0,71328.0,70900.0,70863.0,70939.0,71036.0,71080.0,71399.0,71383.0,71453.0,71607.0,71880.0,72046.0
01051,79706.0,80746.0,81546.0,82485.0,83084.0,84017.0,84966.0,85753.0,86083.0,87061.0,87981.0,88734.0,89566.0
01053,38362.0,38261.0,38120.0,37906.0,37920.0,37887.0,37751.0,37301.0,36846.0,36940.0,36762.0,36628.0,36620.0
01055,104464.0,104475.0,104486.0,104201.0,103822.0,103533.0,103527.0,103767.0,103553.0,103342.0,103436.0,102887.0,102821.0
01057,17234.0,17071.0,16973.0,16864.0,16818.0,16753.0,16632.0,16537.0,16518.0,16354.0,16327.0,16119.0,16041.0
01059,31760.0,31847.0,31828.0,31751.0,31814.0,31831.0,32030.0,32083.0,31966.0,32115.0,32112.0,31991.0,31947.0
01061,26784.0,26790.0,26986.0,26772.0,26715.0,26781.0,26659.0,26592.0,26510.0,26548.0,26661.0,26632.0,26787.0
01063,8982.0,8865.0,8780.0,8651.0,8456.0,8349.0,8295.0,8092.0,7962.0,7823.0,7730.0,7583.0,7412.0
01065,15748.0,15375.0,15393.0,15288.0,15098.0,15078.0,14919.0,14898.0,14871.0,14779.0,14792.0,14715.0,14613.0
01067,17291.0,17369.0,17139.0,17109.0,17050.0,17067.0,17025.0,17063.0,17052.0,17071.0,17145.0,17412.0,17638.0
01069,101817.0,102593.0,103561.0,103908.0,104501.0,104677.0,104774.0,104958.0,105495.0,106860.0,107212.0,107412.0,108063.0
01071,53230.0,53358.0,53318.0,53291.0,52991.0,52722.0,52645.0,52545.0,52423.0,52541.0,52581.0,52688.0,52842.0
01073,658683.0,660446.0,662275.0,665344.0,667912.0,670261.0,671873.0,673076.0,674672.0,675357.0,674716.0,669677.0,665543.0
