FIPS Code,2010 Community Health,2011 Community Health,2012 Community Health,2013 Community Health,2014 Community Health,2015 Community Health,2016 Community Health,2017 Community Health,2018 Community Health,2019 Community Health,2020 Community Health,2021 Community Health,2022 Community Health
01001,0,0,0,0,0,0,0,0,7.420256833,0,0,0,0
01003,0,0,0,0,0,0,0,0,7.892137663,0,0,0,0
01005,0,0,0,0,0,0,0,0,12.77174244,0,0,0,0
01007,0,0,0,0,0,0,0,0,12.41783239,0,0,0,0
01009,0,0,0,0,0,0,0,0,8.475395068,0,0,0,0
01011,0,0,0,0,0,0,0,0,18.58126884,0,0,0,0
01013,0,0,0,0,0,0,0,0,17.13069927,0,0,0,0
01015,0,0,0,0,0,0,0,0,10.38400427,0,0,0,0
01017,0,0,0,0,0,0,0,0,11.75153243,0,0,0,0
01019,0,0,0,0,0,0,0,0,10.78668374,0,0,0,0
01021,0,0,0,0,0,0,0,0,9.023724254,0,0,0,0
01023,0,0,0,0,0,0,0,0,23.90507321,0,0,0,0
01025,0,0,0,0,0,0,0,0,18.77568797,0,0,0,0
01027,0,0,0,0,0,0,0,0,18.64387715,0,0,0,0
01029,0,0,0,0,0,0,0,0,15.35389974,0,0,0,0
01031,0,0,0,0,0,0,0,0,9.273505859,0,0,0,0
01033,0,0,0,0,0,0,0,0,11.25856457,0,0,0,0
01035,0,0,0,0,0,0,0,0,16.77678807,0,0,0,0
01037,0,0,0,0,0,0,0,0,15.58984016,0,0,0,0
01039,0,0,0,0,0,0,0,0,14.20847196,0,0,0,0
01041,0,0,0,0,0,0,0,0,16.9850484,0,0,0,0
01043,0,0,0,0,0,0,0,0,10.13422496,0,0,0,0
01045,0,0,0,0,0,0,0,0,8.398946714,0,0,0,0
01047,0,0,0,0,0,0,0,0,17.43584106,0,0,0,0
01049,0,0,0,0,0,0,0,0,9.037564299,0,0,0,0
01051,0,0,0,0,0,0,0,0,7.982426063,0,0,0,0
01053,0,0,0,0,0,0,0,0,14.10434123,0,0,0,0
01055,0,0,0,0,0,0,0,0,10.48813501,0,0,0,0
01057,0,0,0,0,0,0,0,0,21.60762573,0,0,0,0
01059,0,0,0,0,0,0,0,0,11.21704329,0,0,0,0
