FIPS,2010 Family Unity,2011 Family Unity,2012 Family Unity,2013 Family Unity,2014 Family Unity,2015 Family Unity,2016 Family Unity,2017 Family Unity,2018 Family Unity,2019 Family Unity,2020 Family Unity,2021 Family Unity,2022 Family Unity
01001,0,0,0,0,0,0,0,0,72.33458607,0,0,0,0
01003,0,0,0,0,0,0,0,0,70.85971771,0,0,0,0
01005,0,0,0,0,0,0,0,0,40.86621718,0,0,0,0
01007,0,0,0,0,0,0,0,0,70.56115053,0,0,0,0
01009,0,0,0,0,0,0,0,0,73.729761,0,0,0,0
01011,0,0,0,0,0,0,0,0,64.95962979,0,0,0,0
01013,0,0,0,0,0,0,0,0,64.95962979,0,0,0,0
01015,0,0,0,0,0,0,0,0,61.70374779,0,0,0,0
01017,0,0,0,0,0,0,0,0,46.80633576,0,0,0,0
01019,0,0,0,0,0,0,0,0,74.52612166,0,0,0,0
01021,0,0,0,0,0,0,0,0,65.17860903,0,0,0,0
01023,0,0,0,0,0,0,0,0,49.84351279,0,0,0,0
01025,0,0,0,0,0,0,0,0,62.88509797,0,0,0,0
01027,0,0,0,0,0,0,0,0,50.21938537,0,0,0,0
01029,0,0,0,0,0,0,0,0,83.57781644,0,0,0,0
01031,0,0,0,0,0,0,0,0,56.02901333,0,0,0,0
01033,0,0,0,0,0,0,0,0,63.96186973,0,0,0,0
01035,0,0,0,0,0,0,0,0,64.95962979,0,0,0,0
01037,0,0,0,0,0,0,0,0,58.40401641,0,0,0,0
01039,0,0,0,0,0,0,0,0,64.95962979,0,0,0,0
01041,0,0,0,0,0,0,0,0,61.34911159,0,0,0,0
01043,0,0,0,0,0,0,0,0,71.5786833,0,0,0,0
01045,0,0,0,0,0,0,0,0,65.75121837,0,0,0,0
01047,0,0,0,0,0,0,0,0,16.11872958,0,0,0,0
01049,0,0,0,0,0,0,0,0,65.64532397,0,0,0,0
01051,0,0,0,0,0,0,0,0,63.95214096,0,0,0,0
01053,0,0,0,0,0,0,0,0,64.95962979,0,0,0,0
01055,0,0,0,0,0,0,0,0,56.60687341,0,0,0,0
01057,0,0,0,0,0,0,0,0,74.44891251,0,0,0,0
01059,0,0,0,0,0,0,0,0,60.73466112,0,0,0,0
01061,0,0,0,0,0,0,0,0,53.68273506,0,0,0,0
01063,0,0,0,0,0,0,0,0,16.70713731,0,0,0,0
01065,0,0,0,0,0,0,0,0,38.51058199,0,0,0,0
01067,0,0,0,0,0,0,0,0,75.44029837,0,0,0,0
01069,0,0,0,0,0,0,0,0,48.93787151,0,0,0,0
01071,0,0,0,0,0,0,0,0,67.24927466,0,0,0,0
01073,0,0,0,0,0,0,0,0,50.43751146,0,0,0,0
01075,0,0,0,0,0,0,0,0,71.42025772,0,0,0,0
01077,0,0,0,0,0,0,0,0,67.78053736,0,0,0,0
01079,0,0,0,0,0,0,0,0,74.37329758,0,0,0,0
01081,0,0,0,0,0,0,0,0,62.56488302,0,0,0,0
01083,0,0,0,0,0,0,0,0,67.45242387,0,0,0,0
01085,0,0,0,0,0,0,0,0,23.07398763,0,0,0,0
01087,0,0,0,0,0,0,0,0,21.6294528,0,0,0,0
01089,0,0,0,0,0,0,0,0,64.65220018,0,0,0,0
01091,0,0,0,0,0,0,0,0,27.60832561,0,0,0,0
01093,0,0,0,0,0,0,0,0,67.44531782,0,0,0,0
