FIPS,2010 Social Capital,2011 Social Capital,2012 Social Capital,2013 Social Capital,2014 Social Capital,2015 Social Capital,2016 Social Capital,2017 Social Capital,2018 Social Capital,2019 Social Capital,2020 Social Capital,2021 Social Capital,2022 Social Capital
01001,0,0,0,0,0,0,0,0,59.52273541,0,0,0,0
01003,0,0,0,0,0,0,0,0,59.45240248,0,0,0,0
01005,0,0,0,0,0,0,0,0,43.2741258,0,0,0,0
01007,0,0,0,0,0,0,0,0,57.35518029,0,0,0,0
01009,0,0,0,0,0,0,0,0,61.75826572,0,0,0,0
01011,0,0,0,0,0,0,0,0,44.24920509,0,0,0,0
01013,0,0,0,0,0,0,0,0,44.47659817,0,0,0,0
01015,0,0,0,0,0,0,0,0,45.83075109,0,0,0,0
01017,0,0,0,0,0,0,0,0,41.7557282,0,0,0,0
01019,0,0,0,0,0,0,0,0,52.04245887,0,0,0,0
01021,0,0,0,0,0,0,0,0,53.26805989,0,0,0,0
01023,0,0,0,0,0,0,0,0,61.56825605,0,0,0,0
01025,0,0,0,0,0,0,0,0,55.40412171,0,0,0,0
01027,0,0,0,0,0,0,0,0,52.96002445,0,0,0,0
01029,0,0,0,0,0,0,0,0,67.6396534,0,0,0,0
01031,0,0,0,0,0,0,0,0,49.32729799,0,0,0,0
01033,0,0,0,0,0,0,0,0,51.45036889,0,0,0,0
01035,0,0,0,0,0,0,0,0,44.47659817,0,0,0,0
01037,0,0,0,0,0,0,0,0,53.85292568,0,0,0,0
01039,0,0,0,0,0,0,0,0,48.4626559,0,0,0,0
01041,0,0,0,0,0,0,0,0,50.81985099,0,0,0,0
01043,0,0,0,0,0,0,0,0,62.05526863,0,0,0,0
01045,0,0,0,0,0,0,0,0,48.79761684,0,0,0,0
01047,0,0,0,0,0,0,0,0,27.02401893,0,0,0,0
01049,0,0,0,0,0,0,0,0,51.61521192,0,0,0,0
01051,0,0,0,0,0,0,0,0,55.80860505,0,0,0,0
01053,0,0,0,0,0,0,0,0,48.23274216,0,0,0,0
01055,0,0,0,0,0,0,0,0,45.4204132,0,0,0,0
01057,0,0,0,0,0,0,0,0,68.80830628,0,0,0,0
01059,0,0,0,0,0,0,0,0,51.18406056,0,0,0,0
01061,0,0,0,0,0,0,0,0,50.06229355,0,0,0,0
01063,0,0,0,0,0,0,0,0,24.09717854,0,0,0,0
01065,0,0,0,0,0,0,0,0,52.46251456,0,0,0,0
01067,0,0,0,0,0,0,0,0,59.26987363,0,0,0,0
01069,0,0,0,0,0,0,0,0,45.27672536,0,0,0,0
01071,0,0,0,0,0,0,0,0,52.84422468,0,0,0,0
01073,0,0,0,0,0,0,0,0,38.95819315,0,0,0,0
01075,0,0,0,0,0,0,0,0,69.21273747,0,0,0,0
01077,0,0,0,0,0,0,0,0,61.14396383,0,0,0,0
01079,0,0,0,0,0,0,0,0,58.86918354,0,0,0,0
01081,0,0,0,0,0,0,0,0,50.76347924,0,0,0,0
01083,0,0,0,0,0,0,0,0,59.08053916,0,0,0,0
01085,0,0,0,0,0,0,0,0,38.63554738,0,0,0,0
01087,0,0,0,0,0,0,0,0,30.693768,0,0,0,0
01089,0,0,0,0,0,0,0,0,48.35461226,0,0,0,0
01091,0,0,0,0,0,0,0,0,41.95774205,0,0,0,0
01093,0,0,0,0,0,0,0,0,56.47265148,0,0,0,0
01095,0,0,0,0,0,0,0,0,54.59866421,0,0,0,0
01097,0,0,0,0,0,0,0,0,42.86797091,0,0,0,0
01099,0,0,0,0,0,0,0,0,43.35771727,0,0,0,0
01101,0,0,0,0,0,0,0,0,45.13309241,0,0,0,0
01103,0,0,0,0,0,0,0,0,59.66118489,0,0,0,0
01105,0,0,0,0,0,0,0,0,26.97675427,0,0,0,0
01107,0,0,0,0,0,0,0,0,51.72995359,0,0,0,0
01109,0,0,0,0,0,0,0,0,42.32158657,0,0,0,0
01111,0,0,0,0,0,0,0,0,57.48968144,0,0,0,0
01113,0,0,0,0,0,0,0,0,39.23936569,0,0,0,0
01115,0,0,0,0,0,0,0,0,61.70061904,0,0,0,0
01117,0,0,0,0,0,0,0,0,66.72716423,0,0,0,0
01119,0,0,0,0,0,0,0,0,37.86339335,0,0,0,0
01121,0,0,0,0,0,0,0,0,46.58619782,0,0,0,0
01123,0,0,0,0,0,0,0,0,45.20048983,0,0,0,0
01125,0,0,0,0,0,0,0,0,47.38623443,0,0,0,0
01127,0,0,0,0,0,0,0,0,48.17072751,0,0,0,0
01129,0,0,0,0,0,0,0,0,55.23958198,0,0,0,0
01131,0,0,0,0,0,0,0,0,44.39740242,0,0,0,0
01133,0,0,0,0,0,0,0,0,54.17350877,0,0,0,0
02013,0,0,0,0,0,0,0,0,51.39656211,0,0,0,0
02016,0,0,0,0,0,0,0,0,59.0682262,0,0,0,0
02020,0,0,0,0,0,0,0,0,51.63588815,0,0,0,0
02050,0,0,0,0,0,0,0,0,55.97410956,0,0,0,0
02060,0,0,0,0,0,0,0,0,57.45303924,0,0,0,0
02068,0,0,0,0,0,0,0,0,75.7367776,0,0,0,0
02070,0,0,0,0,0,0,0,0,20.86341983,0,0,0,0
02090,0,0,0,0,0,0,0,0,70.5912144,0,0,0,0
02100,0,0,0,0,0,0,0,0,87.83131404,0,0,0,0
02105,0,0,0,0,0,0,0,0,64.09423068,0,0,0,0
02110,0,0,0,0,0,0,0,0,65.6884123,0,0,0,0
02122,0,0,0,0,0,0,0,0,68.12597705,0,0,0,0
02130,0,0,0,0,0,0,0,0,63.02498453,0,0,0,0
