FIPS,2018 Social Capital
01001,0.0219229
01003,0.016798
01005,-1.162053
01007,-0.1360188
01009,0.1848177
01011,
01013,
01015,-0.9757612
01017,-1.272693
01019,-0.5231371
01021,-0.4338321
01023,0.1709724
01025,-0.2781852
01027,-0.4562775
01029,0.6133726
01031,-0.7209808
01033,-0.5662805
01035,
01037,-0.3912151
01039,
01041,-0.612224
01043,0.2064592
01045,-0.7595767
01047,-2.346138
01049,-0.554269
01051,-0.248712
01053,
01055,-1.005661
01057,0.698528
01059,-0.5856854
01061,-0.6674244
01063,-2.559406
01065,-0.4925292
01067,0.0034978
01069,-1.016131
01071,-0.4647154
01073,-1.476539
01075,0.7279974
01077,0.1400558
01079,-0.025699
01081,-0.6163316
01083,-0.0102983
01085,-1.500049
01087,-2.078737
01089,-0.7918568
01091,-1.257973
01093,-0.2003254
01095,-0.3368759
01097,-1.191648
01099,-1.155962
01101,-1.026597
01103,0.0320112
01105,-2.349582
01107,-0.5459082
01109,-1.231461
01111,-0.1262182
01113,-1.456051
01115,0.1806172
01117,0.5468829
01119,-1.556313
01121,-0.9207146
01123,-1.021686
01125,-0.8624189
01127,-0.8052558
01129,-0.2901746
01131,-1.080204
01133,-0.3678554
02013,-0.5702012
02016,-0.0111955
02020,-0.5527624
02050,-0.2366523
02060,
02068,1.20338
02070,-2.795038
02090,0.8284419
02100,2.084664
02105,0.3550308
02110,0.4711929
02122,0.6488092
02130,0.2771188
02150,1.137866
02158,-0.5121562
02164,
02170,0.4064937
02180,-0.2911156
02185,-1.456341
02188,-0.5029461
02195,
02198,
02220,1.168013
02230,1.532787
02240,0.5075698
02261,1.453265
02275,
02282,
02290,
04001,-1.762087
04003,-1.282811
04005,-1.253144
04007,-1.5856
04009,-1.543161
04011,-1.958385
04012,-1.922173
04013,-1.287153
04015,-1.592534
04017,-1.91351
04019,-1.473152
04021,-1.257691
04023,-0.6941416
04025,-0.6982418
04027,-1.393281
05001,-1.19737
05003,-0.0027922
05005,0.13087
05007,0.1179548
05009,-0.1863836
05011,-1.125393
05013,-0.8109913
05015,-0.1563722
05017,-1.292473
05019,-0.5398081
05021,-0.5224124
05023,-0.0233638
05025,-0.1599204
05027,-0.9812095
05029,-0.3450103
05031,-1.014962
05033,-0.6094432
05035,-3.548473
05037,-0.7227117
05039,-0.6272494
05041,-1.892279
05043,-0.9968009
05045,-0.4241952
05047,-0.311635
05049,-0.2320512
05051,-0.92532
05053,-0.2084397
05055,-0.5928954
05057,-1.666216
05059,-0.6085474
05061,-0.7490011
05063,-1.028193
05065,0.1553512
05067,-1.54631
05069,-2.311244
05071,-0.1542889
05073,-1.46656
05075,-0.0350114
05077,-1.145953
05079,-0.6654165
05081,-0.2852138
05083,-0.224881
05085,-0.3262919
05087,0.236989
05089,-0.824374
05091,-1.827449
05093,-2.599408
05095,-1.307049
05097,-0.032772
05099,-0.392119
05101,-0.0138497
05103,-0.9049858
05105,-0.5364197
05107,-3.680623
05109,0.1187347
05111,-1.447472
05113,-0.2332692
05115,-0.4083855
05117,-0.5099688
05119,-1.999554
05121,-0.6192225
05123,-2.115316
05125,-0.2185577
05127,-0.5323319
05129,0.8741361
05131,-1.155139
05133,-0.4304773
05135,0.292962
05137,-0.0658225
05139,-0.8820147
05141,-0.4498829
05143,-0.4022739
05145,-0.3037437
05147,-0.6281255
05149,-0.8264862
06001,-0.9906321
06003,-0.9014704
06005,-0.1653284
06007,-0.5680036
06009,-0.0834827
06011,-0.0677254
06013,-0.2583216
06015,-1.481076
06017,0.019125
06019,-1.469443
06021,-0.4107955
06023,-0.766335
06025,-1.223182
06027,-0.5564419
06029,-1.470473
06031,-1.613999
06033,-1.604519
06035,-1.0178
06037,-1.045407
06039,-1.636044
06041,0.7698905
06043,-0.4720433
06045,-0.8763755
06047,-1.7046
06049,-0.8968127
06051,
06053,-0.8614189
06055,-0.0562588
06057,-0.0040402
06059,-0.0771578
06061,0.3242608
06063,-0.4384512
06065,-0.7940734
06067,-1.105766
06069,-0.6136546
06071,-1.216521
06073,-0.5206757
06075,-1.048908
06077,-1.674085
06079,-0.1204619
06081,0.1444778
06083,-0.3076536
06085,0.0839538
06087,-0.3817804
06089,-1.17506
06091,0.0838499
06093,-0.1811094
06095,-1.108758
06097,-0.2828263
06099,-1.194801
06101,-0.4948605
06103,-1.213296
06105,-0.3782785
06107,-1.294173
06109,-0.1198283
06111,-0.025529
06113,-0.3362907
06115,-1.153783
08001,0.0044697
08003,0.5388325
08005,0.3334397
08007,0.7050655
08009,1.522308
08011,0.4721917
08013,1.093497
08014,1.560594
08015,1.338435
08017,2.286798
08019,0.3139376
08021,1.121235
08023,0.6057881
08025,-0.8532641
08027,2.000005
08029,1.101144
08031,-0.4003648
08033,
08035,1.678554
08037,0.7090585
08039,1.715167
08041,0.1875334
08043,-0.0104251
08045,0.968962
08047,0.8318089
08049,0.8954617
08051,0.6515156
08053,
08055,
08057,
08059,0.8413835
08061,1.853158
08063,0.8197457
08065,0.1905109
08067,0.7766749
08069,1.235043
08071,0.5723535
08073,0.967715
08075,-0.0915522
08077,0.0083638
08079,2.495304
08081,0.8492254
08083,0.4174191
08085,0.5492109
08087,0.4366793
08089,0.5781718
08091,
08093,1.182507
08095,1.481667
08097,0.8069579
08099,0.7845328
08101,-0.5984085
08103,1.125713
08105,
08107,1.22871
08109,0.9874053
08111,
08113,1.206336
08115,1.111451
08117,0.5581856
08119,0.5257189
08121,1.250853
08123,0.4256116
08125,1.74984
09001,0.515093
09003,-0.0409411
09005,1.003876
09007,0.9310344
09009,-0.3524238
09011,-0.196477
09013,0.6018539
09015,-0.267083
10001,-0.6682803
10003,-0.519014
10005,-0.8471569
11001,-1.363517
12001,-0.8473785
12003,-0.7253381
12005,-1.004019
12007,-1.002683
12009,-0.8925643
12011,-0.9615142
12013,-0.2201796
12015,-0.4507518
12017,-0.7461001
12019,-0.438546
12021,-0.3552275
12023,-1.788893
12027,-1.574496
12029,-1.520435
12031,-1.406511
12033,-1.613175
12035,-0.2978732
12037,-0.2435921
12039,-1.449589
12041,-0.157025
12043,-1.728302
12045,-0.6764119
12047,-1.739935
12049,-1.059636
12051,-1.861066
12053,-0.8011069
12055,-0.4448525
12057,-0.7496681
12059,-0.2200243
12061,-0.126583
12063,
12065,-1.839605
12067,-0.8679216
12069,-0.5137562
12071,-0.9811555
12073,-1.021922
12075,-0.6533752
12077,-0.7623608
12079,-1.546615
