FIPS,2010 EPL_GROUPQ,2014 EPL_GROUPQ,2016 EPL_GROUPQ,2018 EPL_GROUPQ,2020 EPL_GROUPQ,2022 EPL_GROUPQ,2011 EPL_GROUPQ,2012 EPL_GROUPQ,2013 EPL_GROUPQ,2015 EPL_GROUPQ,2017 EPL_GROUPQ,2019 EPL_GROUPQ,2021 EPL_GROUPQ
01001,0.1266,0.0863,0.1251,0.1525,0.1569,0.1091,0.11652499999999999,0.10644999999999999,0.096375,0.10569999999999999,0.13879999999999998,0.1547,0.133
01003,0.3026,0.2865,0.3438,0.3018,0.3157,0.3299,0.298575,0.29455,0.290525,0.31515,0.3228,0.30874999999999997,0.3228
01005,0.9519,0.9414,0.9427,0.9449,0.9513,0.9551,0.949275,0.94665,0.944025,0.94205,0.9438,0.9480999999999999,0.9532
01007,0.9306,0.8781,0.9156,0.9214,0.8873,0.8664,0.917475,0.90435,0.8912249999999999,0.8968499999999999,0.9185,0.90435,0.8768499999999999
01009,0.1336,0.1407,0.1515,0.1165,0.1569,0.1403,0.135375,0.13715,0.138925,0.1461,0.134,0.13670000000000002,0.1486
01011,0.9745,0.8259,0.7705,0.7689,0.7766,0.8858,0.93735,0.9002,0.86305,0.7982,0.7697,0.77275,0.8311999999999999
01013,0.4283,0.2655,0.3502,0.3792,0.3873,0.4321,0.3876,0.3469,0.3062,0.30785,0.3647,0.38325,0.40969999999999995
01015,0.6113,0.5766,0.6125,0.625,0.6139,0.6901,0.602625,0.59395,0.585275,0.59455,0.61875,0.6194500000000001,0.652
01017,0.3386,0.2617,0.3251,0.3457,0.4198,0.4321,0.319375,0.30015000000000003,0.280925,0.2934,0.33540000000000003,0.38275000000000003,0.42595
01019,0.2374,0.3505,0.2776,0.185,0.1913,0.2119,0.265675,0.29395,0.322225,0.31405,0.2313,0.18814999999999998,0.2016
01021,0.1534,0.1009,0.1232,0.1165,0.1569,0.1403,0.140275,0.12715,0.114025,0.11205000000000001,0.11985000000000001,0.13670000000000002,0.1486
01023,0.1658,0.2904,0.2974,0.3018,0.2686,0.252,0.19695000000000001,0.2281,0.25925,0.2939,0.2996,0.2852,0.2603
01025,0.2218,0.2098,0.3114,0.3457,0.3517,0.3675,0.2188,0.2158,0.2128,0.2606,0.32855,0.3487,0.35960000000000003
01027,0.4974,0.511,0.4979,0.4728,0.4462,0.4321,0.5008,0.5042,0.5076,0.5044500000000001,0.48535,0.4595,0.43915
01029,0.2689,0.1805,0.1968,0.185,0.2298,0.1798,0.24679999999999996,0.22469999999999998,0.2026,0.18864999999999998,0.19090000000000001,0.2074,0.20479999999999998
01031,0.2756,0.2245,0.234,0.2184,0.1913,0.252,0.26282500000000003,0.25005,0.237275,0.22925,0.2262,0.20485,0.22165
01033,0.1422,0.1133,0.0981,0.0936,0.0977,0.1091,0.13497499999999998,0.12775,0.120525,0.1057,0.09585,0.09565,0.10339999999999999
01035,0.0385,0.0312,0.0344,0.0341,0.0363,0.0388,0.036675,0.03485,0.033025,0.032799999999999996,0.03425,0.035199999999999995,0.03755
01037,0.2167,0.6148,0.6902,0.7262,0.7358,0.7178,0.316225,0.41575,0.515275,0.6525000000000001,0.7081999999999999,0.731,0.7268
01039,0.407,0.3591,0.4024,0.4448,0.478,0.462,0.39502499999999996,0.38305,0.371075,0.38075,0.4236,0.4614,0.47
01041,0.1725,0.1933,0.1866,0.2184,0.3157,0.462,0.1777,0.1829,0.1881,0.18995,0.2025,0.26705,0.38885000000000003
01043,0.3227,0.2996,0.3308,0.3457,0.3517,0.2943,0.316925,0.31115,0.30537499999999995,0.3152,0.33825,0.3487,0.323
01045,0.4939,0.5954,0.5915,0.6059,0.6585,0.4321,0.519275,0.5446500000000001,0.570025,0.59345,0.5987,0.6322,0.5453
01047,0.4828,0.2833,0.3445,0.3457,0.3517,0.3299,0.432925,0.38305,0.333175,0.31389999999999996,0.34509999999999996,0.3487,0.3408
01049,0.2294,0.2197,0.2674,0.2582,0.3157,0.3299,0.22697499999999998,0.22455,0.22212500000000002,0.24355000000000002,0.26280000000000003,0.28695,0.3228
01051,0.8765,0.8679,0.8392,0.8262,0.8364,0.8148,0.87435,0.8722,0.87005,0.85355,0.8327,0.8313,0.8256
01053,0.9102,0.8752,0.8666,0.8902,0.9067,0.882,0.90145,0.8927,0.88395,0.8709,0.8784000000000001,0.89845,0.89435
01055,0.5327,0.3327,0.2993,0.2582,0.2686,0.3299,0.48269999999999996,0.4327,0.3827,0.316,0.27875,0.26339999999999997,0.29925
01057,0.4551,0.4817,0.4941,0.4995,0.478,0.4916,0.46175,0.46840000000000004,0.47505000000000003,0.4879,0.4968,0.48875,0.4848
01059,0.1384,0.1519,0.1334,0.0936,0.0799,0.1091,0.14177499999999998,0.14515,0.14852500000000002,0.14265,0.11349999999999999,0.08675,0.0945
01061,0.1336,0.114,0.1445,0.1165,0.126,0.1403,0.1287,0.1238,0.1189,0.12925,0.1305,0.12125,0.13315
01063,0.0579,0.0493,0.0739,0.0729,0.2686,0.4003,0.05575,0.053599999999999995,0.051449999999999996,0.061599999999999995,0.07339999999999999,0.17075,0.33445
01065,0.5566,0.4852,0.3871,0.2582,0.2686,0.3299,0.53875,0.5209,0.50305,0.43615000000000004,0.32265,0.26339999999999997,0.29925
01067,0.2517,0.2162,0.3814,0.4448,0.478,0.4003,0.24282499999999999,0.23395,0.225075,0.2988,0.4131,0.4614,0.43915
01069,0.3542,0.1436,0.1379,0.1165,0.1569,0.1798,0.30155,0.2489,0.19625,0.14075,0.1272,0.13670000000000002,0.16835
01071,0.2374,0.2022,0.2595,0.2582,0.2298,0.252,0.2286,0.2198,0.211,0.23085,0.25885,0.244,0.2409
01073,0.605,0.5775,0.5877,0.5769,0.5805,0.6389,0.598125,0.59125,0.584375,0.5826,0.5823,0.5787,0.6097
01075,0.3959,0.4225,0.3235,0.2582,0.3157,0.2119,0.40254999999999996,0.4092,0.41585,0.373,0.29085,0.28695,0.2638
