FIPS,MortalityRate,Aged 17 or Younger,Aged 65 or Older,Below Poverty,Crowding,Group Quarters,Limited English Ability,Minority Status,Mobile Homes,Multi-Unit Structures,No High School Diploma,No Vehicle,Single-Parent Household,Unemployment,Year,Anomaly,AnomalyScore,HighMortality
06033,55.67,22.15,71.1,75.58,84.37,45.35,86.72,66.99,83.19,53.24,40.61,58.37,66.99,91.02,2010,1,0.009761618124804028,True
17201,19.64,72.46,31.03,57.92,50.0,42.83,79.85,68.93,6.07,85.23,51.24,74.98,82.9,82.08,2010,0,-0.03147048960912191,False
18041,25.32,59.83,61.99,77.27,74.66,40.38,35.86,11.93,30.42,69.03,79.37,84.24,74.41,91.82,2010,0,-0.041798158480004455,True
18161,21.78,74.72,38.51,31.5,42.17,14.86,49.23,8.11,58.27,60.05,48.91,21.92,66.29,37.65,2010,0,-0.03477642788595925,False
18177,20.31,45.83,59.64,59.29,36.25,75.77,50.85,42.07,16.29,80.84,59.03,86.47,75.2,87.71,2010,0,-0.0758082667853211,False
21013,90.62,28.19,51.81,96.72,58.08,71.29,14.44,19.98,82.46,48.18,98.05,97.77,76.19,80.01,2010,0,-0.10644251651574493,True
21019,44.41,24.37,61.64,70.94,13.23,80.17,32.68,26.83,51.17,81.25,53.69,88.22,58.81,54.17,2010,0,-0.0916566698880878,True
21025,86.47,47.99,27.72,98.5,26.32,59.48,30.49,2.48,98.21,9.96,98.91,97.13,59.86,91.88,2010,0,-0.08125640121862454,True
21037,31.0,42.77,21.99,26.76,20.71,70.97,16.35,28.29,9.57,93.85,36.76,80.36,60.82,45.64,2010,0,-0.030881022899766686,True
21043,57.72,51.78,42.55,82.01,31.57,58.33,9.7,5.98,94.55,37.36,91.18,73.26,55.44,66.45,2010,0,-0.11413263183064315,True
21049,28.08,52.38,35.13,58.94,57.82,31.22,59.45,36.76,44.04,66.86,63.9,67.56,74.76,64.8,2010,0,-0.09149774255379728,True
21051,73.63,30.84,16.61,98.79,28.86,93.76,20.84,29.94,97.8,30.17,99.49,95.44,76.98,99.78,2010,0,-0.053573414518701734,True
21065,60.49,42.01,47.39,92.61,4.16,11.71,54.8,1.08,88.0,23.1,97.51,96.75,75.01,90.2,2010,0,-0.05583049727082806,True
21071,98.86,37.93,28.96,95.83,72.72,53.27,7.67,2.06,90.0,46.69,95.79,88.82,68.93,81.19,2010,0,-0.11125565546017585,True
21077,20.15,87.96,12.88,89.65,64.06,18.42,63.52,31.47,98.59,74.47,93.12,57.25,85.83,86.76,2010,0,-0.017997418472681326,False
21081,30.32,92.2,9.54,67.6,83.22,50.28,25.58,18.01,84.85,46.75,71.57,22.11,87.2,71.83,2010,0,-2.7607002859530994e-05,True
21089,35.22,38.95,65.27,51.52,19.44,28.64,16.67,8.11,63.97,37.52,68.68,64.35,38.47,68.97,2010,0,-0.08923015622398667,True
21095,47.82,43.06,36.31,97.45,75.77,56.07,23.23,16.16,84.78,39.4,96.4,92.45,60.15,63.65,2010,0,-0.0951168371408343,True
21109,57.86,53.78,31.12,98.44,75.11,12.5,9.61,0.19,89.36,8.84,99.14,86.25,49.55,95.67,2010,0,-0.07513920305423333,True
21115,89.91,37.61,34.5,86.53,52.35,58.33,8.11,1.43,89.08,55.69,96.75,80.93,43.82,71.9,2010,0,-0.11259854936133834,True
21117,41.95,73.8,11.64,27.4,54.61,38.19,58.91,40.26,9.54,89.97,35.74,82.71,72.34,41.15,2010,0,-0.0381222704422457,True
21119,67.29,27.3,26.63,91.12,21.64,77.56,22.34,1.75,94.84,39.68,97.45,93.22,62.73,79.98,2010,0,-0.1029631035040795,True
21121,31.36,69.0,39.49,99.33,62.12,53.53,29.02,10.02,96.94,26.47,98.85,97.51,77.91,95.7,2010,0,-0.08164439673769097,True
21127,59.86,48.12,34.88,91.5,45.57,8.94,56.17,0.95,95.13,43.5,94.36,64.0,34.43,96.4,2010,0,-0.06013129463807165,True
