Year,Cluster,1,2,3,4,5,6
2010,0,0,2,3,1,3,13
2010,1,3,5,2,0,4,0
2010,2,0,0,4,5,2,10
2011,0,0,3,4,2,2,22
2011,1,0,4,5,4,4,1
2011,2,3,0,0,0,3,0
2012,0,0,2,4,2,3,22
2012,1,3,1,2,0,3,0
2012,2,0,4,3,4,3,1
2013,0,0,1,4,2,3,23
2013,1,3,1,1,0,3,0
2013,2,0,5,4,4,3,0
2014,0,0,5,4,4,3,1
2014,1,0,1,4,2,3,22
2014,2,3,1,1,0,3,0
2015,0,0,5,4,4,3,0
2015,1,0,2,4,2,3,23
2015,2,3,0,1,0,3,0
2016,0,0,6,2,0,2,0
2016,1,0,0,5,2,4,23
2016,2,3,1,2,4,3,0
2017,0,0,7,5,4,3,0
2017,1,0,0,4,2,3,23
2017,2,3,0,0,0,3,0
2018,0,0,0,4,2,3,23
2018,1,0,7,5,4,3,0
2018,2,3,0,0,0,3,0
2019,0,0,0,5,2,2,23
2019,1,0,7,2,1,1,0
2019,2,3,0,2,3,6,0
2020,0,0,0,4,3,4,23
2020,1,3,0,0,0,3,0
2020,2,0,7,5,3,2,0
2021,0,0,0,5,3,2,23
2021,1,0,7,2,0,1,0
2021,2,3,0,2,3,6,0
2022,0,0,3,3,0,4,12
2022,1,0,0,4,6,1,11
2022,2,3,4,2,0,4,0
