Year,Variable,ClusterMean,AE_HighErrorMean,Difference
2010,Aged 17 or Younger,34.3,41.492666666666665,-7.192666667
2011,Aged 17 or Younger,34.63,44.7211746,-10.0911746
2012,Aged 17 or Younger,34.99,43.79288888888889,-8.802888889
2013,Aged 17 or Younger,35.27,42.40707936507936,-7.137079365
2014,Aged 17 or Younger,36.56,42.19869841269841,-5.638698413
2015,Aged 17 or Younger,35.42,40.32311111111111,-4.903111111
2016,Aged 17 or Younger,34.68,38.81104761904762,-4.131047619
2017,Aged 17 or Younger,34.31,40.32561904761905,-6.015619048
2018,Aged 17 or Younger,34.54,38.79914285714285,-4.259142857
2019,Aged 17 or Younger,34.16,41.07873015873016,-6.918730159
2020,Aged 17 or Younger,33.87,41.43260317460317,-7.562603175
2021,Aged 17 or Younger,35.2,42.9568254,-7.756825397
2022,Aged 17 or Younger,34.97,44.08819047619047,-9.118190476
2010,Aged 65 or Older,66.12,54.67942857142857,11.440571428571431
2011,Aged 65 or Older,66.21,51.77587301587302,14.434126984126976
2012,Aged 65 or Older,66.37,54.71352380952381,11.656476190476198
2013,Aged 65 or Older,66.67,55.146603174603165,11.523396825396837
2014,Aged 65 or Older,65.49,52.99720634920634,12.492793650793658
2015,Aged 65 or Older,66.69,56.61542857142857,10.074571428571424
2016,Aged 65 or Older,67.13,55.74161904761905,11.388380952380949
2017,Aged 65 or Older,66.76,55.29850793650793,11.461492063492074
2018,Aged 65 or Older,65.71,56.04980952380953,9.660190476190465
2019,Aged 65 or Older,66.29,54.86107936507937,11.428920634920637
2020,Aged 65 or Older,67.35,56.37768253968255,10.972317460317441
2021,Aged 65 or Older,65.38,54.18926984126984,11.190730158730155
2022,Aged 65 or Older,66.43,55.33647619,11.09352380952381
2010,Below Poverty,63.64,59.26301587301587,4.376984126984134
2011,Below Poverty,63.43,59.36492063492062,4.065079365079377
2012,Below Poverty,63.71,59.86111111111112,3.8488888888888795
2013,Below Poverty,64.46,59.447047619047616,5.0129523809523775
2014,Below Poverty,66.95,60.10796825396825,6.842031746031751
2015,Below Poverty,66.04,59.76466666666666,6.275333333333343
2016,Below Poverty,66.14,58.0752381,8.064761904761902
2017,Below Poverty,66.84,56.3628254,10.477174603174603
2018,Below Poverty,69.26,54.73149206349207,14.528507936507935
2019,Below Poverty,68.89,58.11533333333334,10.774666666666661
2020,Below Poverty,67.49,60.87282539682539,6.617174603174604
2021,Below Poverty,70,63.70393651,6.296063492063503
2022,Below Poverty,69.57,61.61707936507936,7.9529206349206305
2010,Crowding,45.18,47.763174603174605,-2.583174603
2011,Crowding,46.37,47.065936507936506,-0.695936508
