FIPS,Year,Cluster,Urban_Class
06033,2010,1,5
21019,2010,2,3
21025,2010,0,6
21037,2010,1,2
21043,2010,0,3
21049,2010,1,3
21065,2010,0,5
21081,2010,1,2
21115,2010,0,6
21117,2010,1,2
21127,2010,0,3
21131,2010,0,6
21135,2010,0,6
21159,2010,0,6
21175,2010,2,6
21189,2010,0,6
21191,2010,0,2
21193,2010,0,6
21197,2010,0,6
22117,2010,0,5
24015,2010,1,2
24510,2010,1,1
29510,2010,1,1
35028,2010,1,5
35039,2010,1,5
39001,2010,0,6
39015,2010,0,2
39053,2010,0,5
39101,2010,1,5
39131,2010,0,6
39145,2010,2,5
42101,2010,1,1
47021,2010,1,2
47025,2010,2,6
47145,2010,2,3
47173,2010,0,3
51027,2010,2,6
51167,2010,2,6
51195,2010,2,6
54003,2010,1,3
54005,2010,0,4
54009,2010,2,4
54011,2010,2,3
54019,2010,2,4
54029,2010,2,4
54039,2010,2,4
54043,2010,0,6
54045,2010,0,6
54047,2010,2,6
54053,2010,2,6
54055,2010,2,5
54059,2010,0,6
54067,2010,2,6
54081,2010,2,4
54089,2010,2,6
54099,2010,2,3
54109,2010,2,6
06033,2011,2,5
21019,2011,1,3
21025,2011,0,6
21037,2011,1,2
21043,2011,0,3
21049,2011,1,3
21065,2011,0,5
21081,2011,0,2
21115,2011,0,6
21117,2011,1,2
21127,2011,0,3
21131,2011,0,6
21135,2011,0,6
21159,2011,0,6
21175,2011,0,6
21189,2011,0,6
21191,2011,0,2
21193,2011,0,6
21197,2011,0,6
22117,2011,2,5
24015,2011,1,2
24510,2011,2,1
29510,2011,2,1
35028,2011,1,5
35039,2011,2,5
39001,2011,0,6
39015,2011,0,2
39053,2011,0,5
39101,2011,1,5
39131,2011,0,6
39145,2011,1,5
42101,2011,2,1
47021,2011,1,2
47025,2011,0,6
47145,2011,1,3
47173,2011,0,3
51027,2011,0,6
51167,2011,0,6
51195,2011,0,6
54003,2011,1,3
54005,2011,0,4
54009,2011,1,4
54011,2011,1,3
54019,2011,0,4
