Year,Cluster_KMeans,Aged 17 or Younger,Aged 65 or Older,Below Poverty,Crowding,Group Quarters,Limited English Ability,Minority Status,Mobile Homes,Multi-Unit Structures,No High School Diploma,No Vehicle,Single-Parent Household,Unemployment
2010,0,68.1,34.77,76.91,76.01,52.29,63.17,81.11,69.48,40.52,78.38,67.57,82.67,68.49
2010,1,34.24,66.21,63.67,45.05,48.61,36.78,35.17,68.32,36.11,64.4,55.54,45.46,62.4
2010,2,57.3,26.54,34.63,52.23,55.23,68.21,60.52,25.94,79.64,31.07,49.03,52.95,45.51
2010,3,41.38,69.87,24.69,27.63,43.53,32.94,25.17,35.38,44.38,26.13,27.98,20.18,23.7
2011,0,57.51,26.62,35.47,52.65,54.81,67.68,60.11,26.58,78.68,31.78,48.62,53.47,45.22
2011,1,34.17,66.53,62.82,45.57,47.81,36.97,35.72,68.32,35.22,63.84,54.58,44.62,62.31
2011,2,68.44,34.55,77.19,75.55,52.48,63.44,81.46,69.43,40.46,78.98,67.43,81.69,68.4
2011,3,41.26,69.96,24.07,26.91,44.47,32.54,24.57,34.73,45.56,25.16,28.56,21.29,23.05
2012,0,58.08,26.78,36.41,53.46,54.05,67.45,60.18,26.91,78.07,32.54,48.75,54.44,45.14
2012,1,34.92,66.11,63.98,46.87,46.55,37.38,37.37,70.34,33.3,65.56,54.26,44.28,62.58
2012,2,40.15,69.73,24.65,26.87,46.2,32.72,24.41,34.92,46.88,25.4,30.45,23.52,24.77
2012,3,68.9,33.84,77.62,75.63,53.18,63.98,82.04,69.36,40.67,79.45,67.33,81.49,68.93
2013,0,69.79,33.0,77.86,76.06,53.29,64.77,81.97,68.57,41.22,79.48,67.16,81.17,69.03
2013,1,35.51,66.41,64.38,47.83,45.69,38.2,39.03,71.79,32.2,66.52,53.79,43.22,63.29
2013,2,57.36,26.51,37.1,53.41,54.65,66.55,59.92,26.66,78.39,32.49,49.34,55.6,44.89
2013,3,40.19,69.35,24.49,26.73,46.62,32.82,24.41,35.1,47.04,25.57,30.88,25.09,24.94
2014,0,72.05,30.66,77.23,78.2,53.31,67.48,82.34,66.23,43.68,79.18,66.97,80.93,68.31
2014,1,39.07,70.49,24.86,26.37,46.97,32.24,24.15,36.54,46.09,26.23,31.0,26.31,25.58
2014,2,56.85,26.68,36.28,52.43,54.65,65.65,58.77,26.38,78.12,31.63,48.31,54.9,43.06
2014,3,36.5,65.71,66.58,48.84,45.6,38.36,41.9,73.23,31.13,68.25,55.29,44.57,65.61
2015,0,57.27,26.74,36.48,53.55,55.15,66.48,59.27,26.67,77.68,32.63,48.74,54.74,42.3
2015,1,39.76,69.63,24.53,26.46,45.82,32.22,23.99,36.15,46.58,25.34,30.59,26.47,25.94
2015,2,72.16,30.3,76.75,77.76,52.92,67.69,82.99,66.11,44.23,79.59,66.4,81.04,68.92
2015,3,36.35,65.57,66.89,48.7,46.83,38.38,42.19,72.69,31.5,67.62,55.86,45.41,65.09
2016,0,71.97,31.68,76.05,76.42,51.84,66.25,81.58,67.65,42.43,79.17,65.0,80.46,69.29
