High Error Mean,Low Error Mean,Difference,Year,Feature
23.95688888888889,8.173471191233652,15.783417697655238,2010,2010 Mortality Rates
62.89193650793651,48.49567691763875,14.39625959029776,2010,2010 No High School Diploma
61.564698412698405,48.600611523506544,12.964086889191861,2010,2010 Unemployment
61.33685714285714,48.65752916224815,12.679327980608988,2010,2010 Mobile Homes
59.26301587301587,48.84149169317781,10.421524179838059,2010,2010 Below Poverty
59.04136507936508,48.81034994697774,10.231015132387341,2010,2010 No Vehicle
54.67942857142857,49.416076352067876,5.263352219360698,2010,2010 Aged 65 or Older
51.95273015873016,49.575478967833156,2.377251190897006,2010,2010 Single-Parent Household
47.755523809523815,50.034835630965,-2.2793118214411834,2010,2010 Group Quarters
47.763174603174605,50.05075998586072,-2.2875853826861174,2010,2010 Crowding
42.61174603174604,50.63014492753623,-8.018398895790192,2010,2010 Multi-Unit Structures
42.14965079365079,50.63621774478615,-8.486566951135359,2010,2010 Limited English Ability
41.492666666666665,50.759784376104626,-9.267117709437962,2010,2010 Aged 17 or Younger
38.527587301587296,51.11614351360905,-12.588556212021757,2010,2010 Minority Status
26.185301587301584,8.562085542594556,17.62321604470703,2011,2011 Mortality Rates
61.22571428571428,48.5255567338282,12.700157551886079,2011,2011 Unemployment
61.29095238095238,48.607723577235774,12.68322880371661,2011,2011 No High School Diploma
61.03231746031746,48.64137504418522,12.39094241613224,2011,2011 Mobile Homes
59.36492063492062,48.77193354542241,10.592987089498216,2011,2011 Below Poverty
57.87022222222223,48.80157299399082,9.068649228231415,2011,2011 No Vehicle
51.77587301587302,49.656182396606575,2.119690619266443,2011,2011 Aged 65 or Older
51.456158730158734,49.64623188405797,1.8099268461007654,2011,2011 Single-Parent Household
47.065936507936506,50.12143867090845,-3.0555021629719405,2011,2011 Crowding
46.76142857142857,50.17501237186284,-3.4135838004342745,2011,2011 Group Quarters
44.721174603174596,50.410402969247095,-5.6892283660724985,2011,2011 Aged 17 or Younger
43.62853968253968,50.536928243195476,-6.908388560655794,2011,2011 Multi-Unit Structures
43.446825396825396,50.496652527394836,-7.04982713056944,2011,2011 Limited English Ability
39.274190476190476,51.037433722163314,-11.763243245972838,2011,2011 Minority Status
22.675333333333334,8.633669141039237,14.041664192294098,2012,2012 Mortality Rates
62.08873015873016,48.452725344644755,13.636004814085403,2012,2012 No High School Diploma
61.97739682539683,48.48584305408272,13.49155377131411,2012,2012 Mobile Homes
60.48996825396824,48.49474372569813,11.995224528270114,2012,2012 Unemployment
59.861111111111114,48.65834924001415,11.202761871096968,2012,2012 Below Poverty
56.345746031746046,48.83214916931779,7.513596862428258,2012,2012 No Vehicle
54.71352380952381,49.246108165429476,5.467415644094331,2012,2012 Aged 65 or Older
50.67076190476191,49.749112760692825,0.9216491440690859,2012,2012 Single-Parent Household
47.696349206349204,50.100173206079894,-2.4038239997306903,2012,2012 Group Quarters
47.53679365079365,50.06189819724284,-2.5251045464491924,2012,2012 Crowding
43.79288888888889,50.52385295157299,-6.730964062684102,2012,2012 Aged 17 or Younger
40.94155555555555,50.85626723223754,-9.91471167668199,2012,2012 Multi-Unit Structures
40.080666666666666,50.87627783669141,-10.795611170024742,2012,2012 Limited English Ability
37.29111111111111,51.26265111346766,-13.971540002356555,2012,2012 Minority Status
62.962158730158734,48.326051608342176,14.636107121816558,2013,2013 Mobile Homes
21.681650793650796,9.202562743018735,12.479088050632061,2013,2013 Mortality Rates
60.662761904761894,48.54537645811241,12.117385446649486,2013,2013 No High School Diploma
60.13669841269841,48.42132909155178,11.715369321146625,2013,2013 Unemployment
59.447047619047616,48.64611170024744,10.800935918800178,2013,2013 Below Poverty
55.146603174603165,49.114959349593484,6.031643825009681,2013,2013 Aged 65 or Older
53.3275873015873,49.029073877695296,4.298513423892004,2013,2013 No Vehicle
49.539523809523814,49.88973135383527,-0.3502075443114592,2013,2013 Single-Parent Household
46.75777777777778,50.141544715447154,-3.383766937669371,2013,2013 Crowding
45.86949206349206,50.33308589607635,-4.463593832584287,2013,2013 Group Quarters
42.40707936507936,50.6882219865677,-8.281142621488335,2013,2013 Aged 17 or Younger
40.65647619047619,50.90813361611877,-10.251657425642577,2013,2013 Multi-Unit Structures
40.46809523809524,50.91349593495935,-10.445400696864112,2013,2013 Minority Status
39.819746031746035,50.910346412159775,-11.09060038041374,2013,2013 Limited English Ability
62.882825396825396,48.284627076705554,14.598198320119842,2014,2014 Mobile Homes
61.537079365079364,48.15259809119831,13.384481273881057,2014,2014 Unemployment
61.563968253968255,48.37889006716154,13.185078186806713,2014,2014 No High School Diploma
23.40857142857143,10.350392364793214,13.058179063778217,2014,2014 Mortality Rates
60.10796825396825,48.51420996818664,11.593758285781611,2014,2014 Below Poverty
56.305936507936515,48.5581230116649,7.747813496271618,2014,2014 No Vehicle
52.997206349206344,49.27111700247437,3.7260893467319747,2014,2014 Aged 65 or Older
49.62333333333334,49.892951572993994,-0.2696182396606517,2014,2014 Single-Parent Household
48.733333333333334,50.04366560622129,-1.3103322728879547,2014,2014 Group Quarters
47.641999999999996,50.03601272534465,-2.394012725344652,2014,2014 Crowding
43.762412698412696,50.55112053729233,-6.788707838879631,2014,2014 Minority Status
42.71012698412698,50.59335100742312,-7.883224023296137,2014,2014 Limited English Ability
42.19869841269841,50.721590668080594,-8.522892255382182,2014,2014 Aged 17 or Younger
41.76669841269841,50.804591728525985,-9.037893315827574,2014,2014 Multi-Unit Structures
