09:21:02 Year 2010: Missing Deaths = 6, Missing Population = 6
09:21:02 Year 2011: Missing Deaths = 6, Missing Population = 6
09:21:02 Year 2012: Missing Deaths = 6, Missing Population = 6
09:21:02 Year 2013: Missing Deaths = 6, Missing Population = 6
09:21:02 Year 2014: Missing Deaths = 5, Missing Population = 5
09:21:02 Year 2015: Missing Deaths = 5, Missing Population = 5
09:21:02 Year 2016: Missing Deaths = 5, Missing Population = 5
09:21:02 Year 2017: Missing Deaths = 5, Missing Population = 5
09:21:02 Year 2018: Missing Deaths = 5, Missing Population = 5
09:21:02 Year 2019: Missing Deaths = 5, Missing Population = 5
09:21:02 Year 2020: Missing Deaths = 5, Missing Population = 5
09:21:02 Year 2021: Missing Deaths = 0, Missing Population = 0
09:21:02 Year 2022: Missing Deaths = 0, Missing Population = 8
